Site,Coordinates,Elevation,Velocity_Up,Uncertainty_Up,Velocity_North,Uncertainty_North,Velocity_East,Uncertainty_East
RG01,"[34.667072418745406, -108.0438129456121]",2157.544590326907,-0.0016942737758843484,2.171954548619099e-05,0.0019487864466133926,8.940343098424264e-06,-0.001048664754032081,7.459997370874904e-06
SC01,"[34.0679525903593, -106.96654343614426]",2097.3797761579463,0.0004361605507350193,1.0322242636281081e-05,0.0016728999798201693,4.708286609159516e-06,-0.0005619692440838817,5.023248774816487e-06
AZCN,"[36.839792950604185, -107.910962404209]",1862.9388360243308,-0.0008614640076356199,2.843238017220529e-05,0.002619991587355284,8.756547108993757e-06,-0.0010957046426278564,1.3029337622536955e-05
P034,"[34.94561936925882, -106.459267663182]",1810.9129044603574,-0.00035380173036662384,1.1120369317395176e-05,0.0017435983520311016,3.572413394341544e-06,-0.00023037771171817767,4.337207882600535e-06
P028,"[36.03168469970933, -107.90840970082284]",1933.112590595545,-0.0006501880235938341,9.710066607636926e-06,0.0018735378834133336,5.1780418008993705e-06,-0.0007577345356354143,3.97126386137793e-06
P029,"[38.439190420106776, -107.63804444204796]",2455.3749197131147,0.0020591502640339467,1.4013401550547141e-05,-0.0008063851032388715,7.3200253520629175e-06,-0.0031566992097140836,7.2602869221229896e-06
NMLG,"[35.03995261508493, -107.37233835135558]",1763.2254175554976,-0.00045426062423334964,2.1699568088089716e-05,0.0016916863935106455,7.4920652055943915e-06,-0.0010525536729416886,7.808427794139458e-06
CTI4,"[37.15291819162043, -107.75609089748136]",2017.9645522683622,-0.002306243070006815,4.2287455172157354e-05,0.0016065480308721295,8.328152428256858e-06,-0.0017049758571420315,8.970346948181892e-06
MC10,"[38.455598434474396, -107.87845670801819]",1808.5898754969496,-0.0011656178735687931,3.2103526917312206e-05,0.0021159822943930956,7.517943633579542e-06,-8.983321150471085e-05,9.667891266191396e-06
TC01,"[37.93803350458362, -107.81333275154333]",2677.5372235304053,-0.0005012674563343497,0.0001462296397842481,0.001459108148290759,4.590903889655585e-05,-0.00046461155655896143,6.004722693719162e-05
